mass_kg,fatmass_kg,taxa,author,measure_estimate,family
0.33,0.01118013,saguinus_fuscicollis_lagonotus,navarrete_2011,measured,Callitrichidae
0.624,0.06320022,saguinus_oedipus,navarrete_2011,measured,Callitrichidae
1.003,0.01658215,saimiri_boliviensis,navarrete_2011,measured,Cebidae
8.5,0.5865978,symphalangus_syndactylus,navarrete_2011,measured,Hylobatidae
11.4,0.4617018,theropithecus_gelada,navarrete_2011,measured,Cercopithecidae
5.0,1.123962,trachypithecus_vetulus,navarrete_2011,measured,Cercopithecidae
4.2,1.064779,varecia_rubra,navarrete_2011,measured,Lemuridae
0.04247,0.00234,acomys_minous,navarrete_2011,measured,Muridae
5.46,0.0525,agouti_paca,navarrete_2011,measured,Cuniculidae
0.0250425,0.0005375,apodemus_flavicollis,navarrete_2011,measured,Muridae
0.018275,0.000895,apodemus_sylvaticus,navarrete_2011,measured,Muridae
0.061805,0.001715,arvicola_terrestris,navarrete_2011,measured,Cricetidae
15.56305,2.065727,castor_fiber,navarrete_2011,measured,Castoridae
4.1,0.05894356,dasyprocta_azarae,navarrete_2011,measured,Dasyproctidae
3.4,0.1061941,dasyprocta_punctata,navarrete_2011,measured,Dasyproctidae
8.43,0.2964615,dolichotis_patagonum,navarrete_2011,measured,Caviidae
0.030045,0.00366,gerbillus_perpallidus,navarrete_2011,measured,Muridae
0.0551,0.001065333,glaucomys_volans,navarrete_2011,measured,Sciuridae
0.08340667,0.01864,glis_glis,navarrete_2011,measured,Gliridae
34.0,1.656574,hydrochaeris_hydrochaeris,navarrete_2011,measured,Caviidae
11.25,0.3833212,hystrix_indica,navarrete_2011,measured,Hystricidae
0.04792,0.00319,jaculus_jaculus,navarrete_2011,measured,Dipodidae
0.01549444,0.00051,microtus_agrestis,navarrete_2011,measured,Cricetidae
0.027,0.00148,microtus_arvalis,navarrete_2011,measured,Cricetidae
0.020957,0.000361,microtus_pinetorum,navarrete_2011,measured,Cricetidae
0.014933,0.000107,mus_musculus,navarrete_2011,measured,Muridae
0.01549,0.00044,myodes_glareolus,navarrete_2011,measured,Cricetidae
0.12936,0.01239,octodon_degus,navarrete_2011,measured,Octodontidae
0.991,0.043975,ondatra_zibethicus,navarrete_2011,measured,Cricetidae
0.022122,0.000746,peromyscus_leucopus,navarrete_2011,measured,Cricetidae
0.209905,0.01891833,rattus_norvegicus,navarrete_2011,measured,Muridae
0.050274,0.006996,rhabdomys_pumilio,navarrete_2011,measured,Muridae
0.5957571,0.05967143,sciurus_carolinensis,navarrete_2011,measured,Sciuridae
0.4124,0.0109,sciurus_niger,navarrete_2011,measured,Sciuridae
0.2745525,0.00275126,sciurus_vulgaris,navarrete_2011,measured,Sciuridae
0.1039713,0.003477,tamias_striatus,navarrete_2011,measured,Sciuridae
0.1408,0.00304291,tupaia_glis,navarrete_2011,measured,Tupaiidae
30626.00323,14021.62505,pusa_hispida,ryg_1993,measured,Phocidae
29966.90185,9863.657993,phocoena_phocoena,ryg_1993,measured,Phocoenidae
39195.11788,13519.91424,halichoerus_grypus,ryg_1993,measured,Phocidae
48251.74818,18841.10471,erignathus_barbatus,ryg_1993,measured,Phocidae
54226.998,16290.79956,odobenus_rosmarus,ryg_1993,measured,Odobenidae
71512.06667,12103.09646,balaenoptera_acutorostrata,ryg_1993,measured,Balaenopteridae
85378.96,13770.00082,balaenoptera_borealis,ryg_1993,measured,Balaenopteridae
89083.71,15376.41605,balaenoptera_physalus,ryg_1993,measured,Balaenopteridae
