mass_kg,fatmass_kg,taxa,author,measure_estimate,habitat
107.455,3.893647671,mammal,pond_1985,measured,unknown
180.5779,12.63386339,mammal,pond_1985,measured,unknown
449.4734,23.38872534,mammal,pond_1985,measured,unknown
670.428,42.62746821,mammal,pond_1985,measured,unknown
42.2715,2.687726537,mammal,pond_1985,measured,unknown
30.61331,1.276716301,mammal,pond_1985,measured,unknown
42.56905,1.335537255,mammal,pond_1985,measured,unknown
4.606451,0.402067016,mammal,pond_1985,measured,unknown
4.704417,0.366304071,mammal,pond_1985,measured,unknown
4.510525,0.33201889,mammal,pond_1985,measured,unknown
4.941185,0.348705575,mammal,pond_1985,measured,unknown
6.822889,0.435889379,mammal,pond_1985,measured,unknown
7.961414,0.535236115,mammal,pond_1985,measured,unknown
9.554287,0.639420084,mammal,pond_1985,measured,unknown
9.75748,0.540352432,mammal,pond_1985,measured,unknown
7.905765,0.43780766,mammal,pond_1985,measured,unknown
7.526943,0.341353852,mammal,pond_1985,measured,unknown
4.737534,0.273872906,mammal,pond_1985,measured,unknown
4.294395,0.22476739,mammal,pond_1985,measured,unknown
5.010995,0.24552489,mammal,pond_1985,measured,unknown
5.566995,0.274458995,mammal,pond_1985,measured,unknown
12.73805,0.2951308,mammal,pond_1985,measured,unknown
10.39336,0.155536915,mammal,pond_1985,measured,unknown
8.539941,0.143370127,mammal,pond_1985,measured,unknown
7.526943,0.130938123,mammal,pond_1985,measured,unknown
7.166272,0.161681981,mammal,pond_1985,measured,unknown
7.166272,0.20305524,mammal,pond_1985,measured,unknown
6.098526,0.195037904,mammal,pond_1985,measured,unknown
5.412964,0.133638184,mammal,pond_1985,measured,unknown
5.847175,0.130144376,mammal,pond_1985,measured,unknown
5.685389,0.091992313,mammal,pond_1985,measured,unknown
4.671534,0.082685053,mammal,pond_1985,measured,unknown
3.243722,0.114579918,mammal,pond_1985,measured,unknown
2.721962,0.086224371,mammal,pond_1985,measured,unknown
2.432982,0.083723822,mammal,pond_1985,measured,unknown
3.066705,0.086894624,mammal,pond_1985,measured,unknown
3.066705,0.058939245,mammal,pond_1985,measured,unknown
3.784999,0.068143732,mammal,pond_1985,measured,unknown
4.146384,0.038112447,mammal,pond_1985,measured,unknown
3.383159,0.04343312,mammal,pond_1985,measured,unknown
3.176174,0.030159581,mammal,pond_1985,measured,unknown
2.467355,0.033175438,mammal,pond_1985,measured,unknown
2.537568,0.0148429,mammal,pond_1985,measured,unknown
2.085051,0.033103544,mammal,pond_1985,measured,unknown
124.5094,47.60374861,mammal,pond_1985,measured,unknown
141.2662,53.88162647,mammal,pond_1985,measured,unknown
167.1681,66.09768114,mammal,pond_1985,measured,unknown
195.0632,78.07564564,mammal,pond_1985,measured,unknown
215.1919,85.60922378,mammal,pond_1985,measured,unknown
153.6724,63.56321741,mammal,pond_1985,measured,unknown
118.5433,49.17692639,mammal,pond_1985,measured,unknown
160.2783,68.925495,mammal,pond_1985,measured,unknown
175.5814,79.08096481,mammal,pond_1985,measured,unknown
128.9539,61.6459346,mammal,pond_1985,measured,unknown
